master_order_id,master_order_status,Invoice_date,order_id,order_status,ordereditem_quantity,prod_names,ordereditem_unit_price_net,ordereditem_product_id,value,group,dist_names,retailer_names,bill_amount
25653,delivered,19-12-2017,25653,delivered,1,ProdName21,114.2,218.0,114.2,Hyderabad,DistName4,RetailerID181,1519.0
25653,delivered,19-12-2017,25653,delivered,2,ProdName22,38.03,1343.0,76.06,Hyderabad,DistName1,RetailerID177,1519.0
25653,delivered,19-12-2017,25653,delivered,3,ProdName23,19.83,10.0,59.49,Hyderabad,DistName3,RetailerID44,1519.0
25653,delivered,19-12-2017,25653,delivered,2,ProdName24,71.89,5348.0,143.78,Hyderabad,DistName3,RetailerID27,1519.0
25653,delivered,19-12-2017,25653,delivered,2,ProdName25,29.7,2667.0,59.4,Hyderabad,DistName3,RetailerID101,1519.0
25655,delivered,19-12-2017,25655,delivered,2,ProdName26,42.07,261.0,84.14,Hyderabad,DistName1,RetailerID109,1159.0
25655,delivered,19-12-2017,25655,delivered,10,ProdName27,36.33,744.0,363.3,Hyderabad,DistName3,RetailerID123,1159.0
25655,delivered,19-12-2017,25655,delivered,1,ProdName28,182.86,552.0,182.86,Hyderabad,DistName3,RetailerID25,1159.0
25655,delivered,19-12-2017,25655,delivered,2,ProdName29,77.86,5806.0,155.72,Hyderabad,DistName1,RetailerID137,1159.0
25655,delivered,19-12-2017,25655,delivered,2,ProdName30,53.57,3291.0,107.14,Hyderabad,DistName1,RetailerID56,1159.0
25655,delivered,19-12-2017,25655,delivered,1,ProdName31,46.07,1171.0,46.07,Hyderabad,DistName1,RetailerID68,1159.0
25655,delivered,19-12-2017,25655,delivered,2,ProdName32,71.87,6024.0,143.74,Hyderabad,DistName6,RetailerID55,1159.0
25652,delivered,19-12-2017,25652,delivered,1,ProdName33,64.29,2201.0,64.29,Hyderabad,DistName3,RetailerID77,566.0
25654,delivered,19-12-2017,25654,delivered,1,ProdName34,27.86,883.0,27.86,Hyderabad,DistName1,RetailerID13,468.0
25653,delivered,19-12-2017,25653,delivered,1,ProdName35,103.03,2454.0,103.03,Hyderabad,DistName4,RetailerID94,1519.0
25653,delivered,19-12-2017,25653,delivered,1,ProdName36,116.74,1732.0,116.74,Hyderabad,DistName7,RetailerID81,1519.0
25656,processed,19-12-2017,25656,processed,1,ProdName37,91.53,220.0,91.53,Hyderabad,DistName3,RetailerID8,91.53
25657,delivered,21-12-2017,25657,delivered,5,ProdName38,38.31,1886.0,191.55,Hyderabad,DistName1,RetailerID186,471.0
25657,delivered,21-12-2017,25657,delivered,3,ProdName19,18.04,1844.0,54.12,Hyderabad,DistName1,RetailerID58,471.0
25657,delivered,21-12-2017,25657,delivered,2,ProdName39,70.71,1921.0,141.42,Hyderabad,DistName1,RetailerID91,471.0
25657,delivered,21-12-2017,25657,delivered,2,ProdName40,88.14,1688.0,176.28,Hyderabad,DistName3,RetailerID63,471.0
25658,delivered,21-12-2017,25658,delivered,1,ProdName41,23.46,1935.0,23.46,Hyderabad,DistName1,RetailerID200,509.0
25658,delivered,21-12-2017,25658,delivered,6,ProdName42,69.29,3696.0,415.74,Hyderabad,DistName1,RetailerID13,509.0
25658,delivered,21-12-2017,25658,delivered,3,ProdName43,39.29,4793.0,117.87,Hyderabad,DistName9,RetailerID81,509.0
25659,processed,21-12-2017,25659,processed,2,ProdName44,24.97,2387.0,49.94,Hyderabad,DistName1,RetailerID16,580.31
25659,processed,21-12-2017,25659,processed,3,ProdName45,105.71,1277.0,317.13,Hyderabad,DistName1,RetailerID13,580.31
25659,processed,21-12-2017,25659,processed,5,ProdName46,31.1,1021.0,155.5,Hyderabad,DistName1,RetailerID79,580.31
25659,processed,21-12-2017,25659,processed,2,ProdName47,28.87,4832.0,57.74,Hyderabad,DistName1,RetailerID137,580.31
25660,new,21-12-2017,25660,rejected,2,ProdName40,88.14,1688.0,176.28,Hyderabad,DistName3,RetailerID63,563.37
25660,new,21-12-2017,25660,rejected,5,ProdName38,38.31,1886.0,191.55,Hyderabad,DistName1,RetailerID186,563.37
25660,new,21-12-2017,25660,rejected,3,ProdName19,18.04,1844.0,54.12,Hyderabad,DistName1,RetailerID58,563.37
25660,new,21-12-2017,25660,rejected,2,ProdName39,70.71,1921.0,141.42,Hyderabad,DistName1,RetailerID91,563.37
26673,Partially Delivered,09-03-2018,27568,delivered,5,ProdName48,69.68,26986.0,348.4,Gurugram,DistName6,RetailerID55,383.0
25663,cancelled,22-12-2017,25663,cancelled,1,ProdName49,93.9,872.0,93.9,Hyderabad,DistName7,RetailerID81,93.9
25661,processed,22-12-2017,25661,processed,3,ProdName50,33.4,2180.0,100.2,Hyderabad,DistName1,RetailerID13,2671.84
25661,processed,22-12-2017,25661,processed,2,ProdName51,199.74,4337.0,399.48,Hyderabad,DistName1,RetailerID13,2671.84
25661,processed,22-12-2017,25661,processed,2,ProdName52,200.7,4441.0,401.4,Hyderabad,DistName1,RetailerID13,2671.84
25661,processed,22-12-2017,25661,processed,3,ProdName53,39.64,3234.0,118.92,Hyderabad,DistName3,RetailerID164,2671.84
25661,processed,22-12-2017,25661,processed,5,ProdName35,103.03,2454.0,515.15,Hyderabad,DistName4,RetailerID94,2671.84
25661,processed,22-12-2017,25661,processed,11,ProdName54,13.74,1212.0,151.14,Hyderabad,DistName1,RetailerID81,2671.84
25661,processed,22-12-2017,25661,processed,2,ProdName55,58.27,4837.0,116.54,Hyderabad,DistName3,RetailerID37,2671.84
25661,processed,22-12-2017,25661,processed,1,ProdName56,334.59,5712.0,334.59,Hyderabad,DistName2,RetailerID5,2671.84
25661,processed,22-12-2017,25661,processed,1,ProdName57,114.4,3518.0,114.4,Hyderabad,DistName1,RetailerID13,2671.84
25661,processed,22-12-2017,25661,processed,2,ProdName25,29.7,2667.0,59.4,Hyderabad,DistName3,RetailerID101,2671.84
25661,processed,22-12-2017,25661,processed,2,ProdName58,132.1,1760.0,264.2,Hyderabad,DistName1,RetailerID36,2671.84
25662,processed,22-12-2017,25662,processed,3,ProdName59,23.07,2963.0,69.21,Hyderabad,DistName3,RetailerID114,753.45
25662,processed,22-12-2017,25662,processed,1,ProdName60,92.14,2173.0,92.14,Hyderabad,DistName3,RetailerID8,753.45
25662,processed,22-12-2017,25662,processed,2,ProdName61,37.29,2010.0,74.58,Hyderabad,DistName1,RetailerID13,753.45
25662,processed,22-12-2017,25662,processed,2,ProdName62,140.4,2527.0,280.8,Hyderabad,DistName3,RetailerID179,753.45
25662,processed,22-12-2017,25662,processed,2,ProdName63,70.72,2708.0,141.44,Hyderabad,DistName3,RetailerID35,753.45
25662,processed,22-12-2017,25662,processed,2,ProdName64,47.64,4309.0,95.28,Hyderabad,DistName1,RetailerID115,753.45
25664,cancelled,22-12-2017,25664,cancelled,5,ProdName65,75.0,99.0,375.0,Hyderabad,DistName1,RetailerID215,730.74
25664,cancelled,22-12-2017,25664,cancelled,6,ProdName66,59.29,1786.0,355.74,Hyderabad,DistName1,RetailerID16,730.74
25665,cancelled,22-12-2017,25665,cancelled,6,ProdName66,59.29,1786.0,355.74,Hyderabad,DistName1,RetailerID16,730.74
25665,cancelled,22-12-2017,25665,cancelled,5,ProdName65,75.0,99.0,375.0,Hyderabad,DistName1,RetailerID215,730.74
25668,cancelled,27-12-2017,25668,cancelled,7,ProdName67,44.29,5.0,310.03,Hyderabad,DistName3,RetailerID127,310.03
25666,processed,26-12-2017,25666,processed,2,ProdName68,14.58,4760.0,29.16,Hyderabad,DistName8,RetailerID9,704.18
25666,processed,26-12-2017,25666,processed,1,ProdName69,92.86,4024.0,92.86,Hyderabad,DistName1,RetailerID43,704.18
25666,processed,26-12-2017,25666,processed,1,ProdName70,11.83,4337.0,11.83,Hyderabad,DistName4,RetailerID94,704.18
25666,processed,26-12-2017,25666,processed,1,ProdName71,124.29,1139.0,124.29,Hyderabad,DistName1,RetailerID13,704.18
25666,processed,26-12-2017,25666,processed,1,ProdName72,156.43,4546.0,156.43,Hyderabad,DistName3,RetailerID90,704.18
25661,processed,22-12-2017,25661,processed,2,ProdName73,48.21,4337.0,96.42,Hyderabad,DistName1,RetailerID43,2671.84
25666,processed,26-12-2017,25666,processed,2,ProdName74,33.82,2825.0,67.64,Hyderabad,DistName4,RetailerID94,704.18
25666,processed,26-12-2017,25666,processed,2,ProdName75,41.34,1182.0,82.68,Hyderabad,DistName1,RetailerID13,704.18
25667,processed,26-12-2017,25667,processed,15,ProdName76,138.21,7584.0,2073.15,Hyderabad,DistName3,RetailerID60,2073.15
25669,processed,27-12-2017,25669,processed,1,ProdName76,138.21,7584.0,138.21,Hyderabad,DistName3,RetailerID60,138.21
25670,processed,27-12-2017,25670,processed,1,ProdName76,138.21,7584.0,138.21,Hyderabad,DistName3,RetailerID60,138.21
25671,new,29-12-2017,25671,new,10,ProdName76,138.21,7584.0,1382.1,Hyderabad,DistName3,RetailerID60,1382.1
25672,new,29-12-2017,25672,new,10,ProdName23,19.83,10.0,198.3,Hyderabad,DistName3,RetailerID44,198.3
25674,processed,29-12-2017,25674,processed,1,ProdName77,75.93,3.0,75.93,Hyderabad,DistName1,RetailerID141,75.93
25666,processed,26-12-2017,25666,processed,3,ProdName78,46.43,4337.0,139.29,Hyderabad,DistName1,RetailerID13,704.18
25675,processed,02-01-2018,25675,processed,1,ProdName79,33.71,147.0,33.71,Hyderabad,DistName1,RetailerID13,33.71
25676,processed,02-01-2018,25676,processed,1,ProdName80,77.86,34.0,77.86,Hyderabad,DistName3,RetailerID67,77.86
25673,processed,29-12-2017,25673,processed,10,ProdName81,60.71,21.0,607.1,Hyderabad,DistName3,RetailerID90,607.1
25680,new,04-01-2018,25681,rejected,20,ProdName10,19.44,922.0,388.8,Hyderabad,DistName1,RetailerID56,1095.9
25680,new,04-01-2018,25681,rejected,10,ProdName82,70.71,2620.0,707.1,Hyderabad,DistName4,RetailerID139,1095.9
25680,new,04-01-2018,25682,new,5,ProdName83,57.86,948.0,289.3,Hyderabad,DistName1,RetailerID20,289.3
25681,cancelled,04-01-2018,25683,cancelled,10,ProdName84,14.26,144.0,142.6,Hyderabad,DistName1,RetailerID177,708.25
25681,cancelled,04-01-2018,25683,cancelled,5,ProdName67,44.29,5.0,221.45,Hyderabad,DistName3,RetailerID127,708.25
25681,cancelled,04-01-2018,25683,cancelled,20,ProdName85,17.21,149.0,344.2,Hyderabad,DistName1,RetailerID81,708.25
25682,cancelled,04-01-2018,25685,cancelled,5,ProdName86,95.36,1571.0,476.8,Hyderabad,DistName3,RetailerID114,1212.86
25682,cancelled,04-01-2018,25685,cancelled,2,ProdName87,261.08,5379.0,522.16,Hyderabad,DistName1,RetailerID200,1212.86
25682,cancelled,04-01-2018,25685,cancelled,15,ProdName84,14.26,144.0,213.9,Hyderabad,DistName1,RetailerID177,1212.86
25682,cancelled,04-01-2018,25686,cancelled,3,ProdName88,44.0,2292.0,132.0,Hyderabad,DistName2,RetailerID178,132.0
25677,processed,03-01-2018,25677,processed,1,ProdName68,14.58,4760.0,14.58,Hyderabad,DistName8,RetailerID9,3680.2
25677,processed,03-01-2018,25677,processed,20,ProdName69,92.86,4024.0,1857.2,Hyderabad,DistName1,RetailerID43,3680.2
25683,processed,22-01-2018,25687,processed,7,ProdName89,69.29,4337.0,485.03,Hyderabad,DistName1,RetailerID13,7901.36
25677,processed,03-01-2018,25677,processed,2,ProdName90,82.79,35.0,165.58,Hyderabad,DistName1,RetailerID13,3680.2
25677,processed,03-01-2018,25677,processed,11,ProdName81,60.71,21.0,667.81,Hyderabad,DistName3,RetailerID90,3680.2
25678,processed,03-01-2018,25678,processed,2,ProdName90,82.79,35.0,165.58,Hyderabad,DistName1,RetailerID13,458.74
25685,processed,23-01-2018,25689,processed,2,ProdName91,75.62,4337.0,151.24,Hyderabad,DistName1,RetailerID65,1063.91
25678,processed,03-01-2018,25678,processed,2,ProdName69,92.86,4024.0,185.72,Hyderabad,DistName1,RetailerID43,458.74
25678,processed,03-01-2018,25678,processed,1,ProdName68,14.58,4760.0,14.58,Hyderabad,DistName8,RetailerID9,458.74
25679,processed,03-01-2018,25679,processed,1,ProdName92,367.32,762.0,367.32,Hyderabad,DistName4,RetailerID118,7099.37
25679,processed,03-01-2018,25679,processed,43,ProdName93,133.93,1526.0,5758.99,Hyderabad,DistName3,RetailerID8,7099.37
25679,processed,03-01-2018,25679,processed,2,ProdName37,91.53,220.0,183.06,Hyderabad,DistName3,RetailerID8,7099.37
25679,processed,03-01-2018,25679,processed,3,ProdName94,22.86,608.0,68.58,Hyderabad,DistName4,RetailerID71,7099.37
25683,processed,22-01-2018,25687,processed,3,ProdName95,81.43,4337.0,244.29,Hyderabad,DistName1,RetailerID122,7901.36
25679,processed,03-01-2018,25679,processed,4,ProdName96,157.14,2672.0,628.56,Hyderabad,DistName3,RetailerID8,7099.37
25686,processed,23-01-2018,25690,processed,12,ProdName97,31.13,4337.0,373.56,Hyderabad,DistName1,RetailerID122,1473.28
25683,processed,22-01-2018,25687,processed,3,ProdName98,80.79,2734.0,242.37,Hyderabad,DistName3,RetailerID101,7901.36
25683,processed,22-01-2018,25687,processed,6,ProdName99,73.88,1839.0,443.28,Hyderabad,DistName1,RetailerID31,7901.36
25683,processed,22-01-2018,25687,processed,10,ProdName100,199.29,3183.0,1992.9,Hyderabad,DistName3,RetailerID52,7901.36
25683,processed,22-01-2018,25687,processed,3,ProdName101,210.72,3343.0,632.16,Hyderabad,DistName3,RetailerID52,7901.36
25683,processed,22-01-2018,25687,processed,10,ProdName102,90.64,1324.0,906.4,Hyderabad,DistName3,RetailerID44,7901.36
25683,processed,22-01-2018,25687,processed,10,ProdName46,31.1,1021.0,311.0,Hyderabad,DistName1,RetailerID79,7901.36
25683,processed,22-01-2018,25687,processed,2,ProdName103,37.14,1134.0,74.28,Hyderabad,DistName1,RetailerID31,7901.36
25683,processed,22-01-2018,25687,processed,1,ProdName104,64.79,904.0,64.79,Hyderabad,DistName3,RetailerID37,7901.36
25683,processed,22-01-2018,25687,processed,6,ProdName105,90.0,5544.0,540.0,Hyderabad,DistName8,RetailerID9,7901.36
25683,processed,22-01-2018,25687,processed,1,ProdName106,69.64,1425.0,69.64,Hyderabad,DistName7,RetailerID133,7901.36
25685,processed,23-01-2018,25689,processed,4,ProdName107,26.21,4337.0,104.84,Hyderabad,DistName1,RetailerID215,1063.91
25683,processed,22-01-2018,25687,processed,1,ProdName108,500.0,1476.0,500.0,Hyderabad,DistName1,RetailerID116,7901.36
25683,processed,22-01-2018,25687,processed,10,ProdName109,31.43,540.0,314.3,Hyderabad,DistName2,RetailerID50,7901.36
25683,processed,22-01-2018,25687,processed,2,ProdName110,277.96,2737.0,555.92,Hyderabad,DistName3,RetailerID8,7901.36
25683,processed,22-01-2018,25687,processed,4,ProdName111,131.25,3840.0,525.0,Hyderabad,DistName2,RetailerID5,7901.36
26150,delivered,17-02-2018,26534,delivered,1,ProdName112,142.86,33653.0,142.86,Gurugram,DistName7,RetailerID81,135.0
25684,processed,23-01-2018,25688,processed,1,ProdName113,42.93,131.0,42.93,Hyderabad,DistName1,RetailerID91,877.53
25684,processed,23-01-2018,25688,processed,1,ProdName114,50.71,898.0,50.71,Hyderabad,DistName3,RetailerID33,877.53
25684,processed,23-01-2018,25688,processed,2,ProdName115,21.43,2749.0,42.86,Hyderabad,DistName1,RetailerID175,877.53
25684,processed,23-01-2018,25688,processed,2,ProdName116,7.14,4357.0,14.28,Hyderabad,DistName3,RetailerID10,877.53
25684,processed,23-01-2018,25688,processed,1,ProdName117,111.42,30.0,111.42,Hyderabad,DistName5,RetailerID119,877.53
25684,processed,23-01-2018,25688,processed,2,ProdName118,48.29,1728.0,96.58,Hyderabad,DistName1,RetailerID2,877.53
25684,processed,23-01-2018,25688,processed,1,ProdName119,157.69,109.0,157.69,Hyderabad,DistName3,RetailerID78,877.53
25684,processed,23-01-2018,25688,processed,1,ProdName33,64.29,2201.0,64.29,Hyderabad,DistName3,RetailerID77,877.53
25685,processed,23-01-2018,25689,processed,4,ProdName65,75.0,99.0,300.0,Hyderabad,DistName1,RetailerID215,1063.91
25685,processed,23-01-2018,25689,processed,2,ProdName120,102.4,507.0,204.8,Hyderabad,DistName3,RetailerID35,1063.91
25685,processed,23-01-2018,25689,processed,5,ProdName43,39.29,4793.0,196.45,Hyderabad,DistName9,RetailerID81,1063.91
25686,processed,23-01-2018,25690,processed,3,ProdName121,49.29,1779.0,147.87,Hyderabad,DistName1,RetailerID2,1473.28
25686,processed,23-01-2018,25690,processed,10,ProdName122,56.79,1006.0,567.9,Hyderabad,DistName1,RetailerID58,1473.28
25684,processed,23-01-2018,25688,processed,1,ProdName123,172.23,556.0,172.23,Hyderabad,DistName3,RetailerID25,877.53
25684,processed,23-01-2018,25688,processed,2,ProdName124,41.14,2407.0,82.28,Hyderabad,DistName1,RetailerID21,877.53
25684,processed,23-01-2018,25688,processed,1,ProdName125,42.26,896.0,42.26,Hyderabad,DistName3,RetailerID33,877.53
25685,processed,23-01-2018,25689,processed,2,ProdName126,53.29,612.0,106.58,Hyderabad,DistName3,RetailerID146,1063.91
25686,processed,23-01-2018,25690,processed,5,ProdName127,76.79,3226.0,383.95,Hyderabad,DistName3,RetailerID123,1473.28
25687,processed,23-01-2018,25691,processed,2,ProdName128,135.28,3211.0,270.56,Hyderabad,DistName1,RetailerID137,694.49
25687,processed,23-01-2018,25691,processed,1,ProdName129,75.62,2690.0,75.62,Hyderabad,DistName3,RetailerID148,694.49
25687,processed,23-01-2018,25691,processed,2,ProdName130,30.74,2282.0,61.48,Hyderabad,DistName3,RetailerID164,694.49
25687,processed,23-01-2018,25691,processed,3,ProdName13,77.86,2747.0,233.58,Hyderabad,DistName1,RetailerID16,694.49
25687,processed,23-01-2018,25691,processed,5,ProdName131,10.65,378.0,53.25,Hyderabad,DistName1,RetailerID13,694.49
25688,processed,23-01-2018,25692,processed,1,ProdName132,60.71,1045.0,60.71,Hyderabad,DistName1,RetailerID109,2492.79
25688,processed,23-01-2018,25692,processed,1,ProdName133,162.68,2704.0,162.68,Hyderabad,DistName1,RetailerID79,2492.79
25688,processed,23-01-2018,25692,processed,5,ProdName134,61.29,891.0,306.45,Hyderabad,DistName3,RetailerID67,2492.79
25688,processed,23-01-2018,25692,processed,6,ProdName135,25.5,4845.0,153.0,Hyderabad,DistName1,RetailerID13,2492.79
25688,processed,23-01-2018,25692,processed,6,ProdName136,42.32,5962.0,253.92,Hyderabad,DistName1,RetailerID13,2492.79
25688,processed,23-01-2018,25692,processed,6,ProdName137,49.28,906.0,295.68,Hyderabad,DistName1,RetailerID18,2492.79
25688,processed,23-01-2018,25692,processed,5,ProdName138,191.92,3786.0,959.6,Hyderabad,DistName1,RetailerID21,2492.79
25688,processed,23-01-2018,25692,processed,3,ProdName139,57.86,3776.0,173.58,Hyderabad,DistName10,RetailerID224,2492.79
25688,processed,23-01-2018,25692,processed,1,ProdName140,75.62,2094.0,75.62,Hyderabad,DistName1,RetailerID119,2492.79
25689,processed,23-01-2018,25693,processed,3,ProdName141,112.56,466.0,337.68,Hyderabad,DistName1,RetailerID13,864.21
25689,processed,23-01-2018,25693,processed,3,ProdName142,110.71,2706.0,332.13,Hyderabad,DistName2,RetailerID37,864.21
25689,processed,23-01-2018,25693,processed,10,ProdName10,19.44,922.0,194.4,Hyderabad,DistName1,RetailerID56,864.21
26669,processed,09-03-2018,27570,processed,6,ProdName143,54.29,5561.0,325.74,Hyderabad,DistName3,RetailerID52,6461.74
25692,processed,24-01-2018,25696,processed,1,ProdName144,158.71,363.0,158.71,Hyderabad,DistName3,RetailerID8,4578.9
25692,processed,24-01-2018,25696,processed,1,ProdName145,350.64,3749.0,350.64,Hyderabad,DistName3,RetailerID19,4578.9
25692,processed,24-01-2018,25696,processed,2,ProdName146,59.64,5613.0,119.28,Hyderabad,DistName1,RetailerID16,4578.9
25692,processed,24-01-2018,25696,processed,1,ProdName147,58.0,1494.0,58.0,Hyderabad,DistName3,RetailerID101,4578.9
25692,processed,24-01-2018,25696,processed,1,ProdName148,3687.62,724.0,3687.62,Hyderabad,DistName8,RetailerID156,4578.9
25692,processed,24-01-2018,25696,processed,1,ProdName149,109.29,5234.0,109.29,Hyderabad,DistName1,RetailerID74,4578.9
25692,processed,24-01-2018,25696,processed,1,ProdName150,95.36,5237.0,95.36,Hyderabad,DistName3,RetailerID95,4578.9
25691,processed,24-01-2018,25695,processed,2,ProdName142,110.71,2706.0,221.42,Hyderabad,DistName2,RetailerID37,845.0
25691,processed,24-01-2018,25695,processed,3,ProdName151,97.14,189.0,291.42,Hyderabad,DistName3,RetailerID52,845.0
25691,processed,24-01-2018,25695,processed,3,ProdName152,110.72,1028.0,332.16,Hyderabad,DistName7,RetailerID194,845.0
25694,processed,24-01-2018,25698,processed,30,ProdName153,87.86,775.0,2635.8,Hyderabad,DistName3,RetailerID95,4319.31
25694,processed,24-01-2018,25698,processed,10,ProdName154,43.93,2586.0,439.3,Hyderabad,DistName3,RetailerID95,4319.31
25694,processed,24-01-2018,25698,processed,2,ProdName155,297.1,4130.0,594.2,Hyderabad,DistName1,RetailerID42,4319.31
25694,processed,24-01-2018,25698,processed,1,ProdName156,83.89,4172.0,83.89,Hyderabad,DistName1,RetailerID115,4319.31
25694,processed,24-01-2018,25698,processed,4,ProdName157,141.53,5477.0,566.12,Hyderabad,DistName1,RetailerID119,4319.31
25690,processed,24-01-2018,25694,processed,10,ProdName158,36.93,660.0,369.3,Hyderabad,DistName3,RetailerID51,2194.92
25688,processed,23-01-2018,25692,processed,1,ProdName159,51.55,4337.0,51.55,Hyderabad,DistName1,RetailerID116,2492.79
25690,processed,24-01-2018,25694,processed,2,ProdName160,42.79,617.0,85.58,Hyderabad,DistName3,RetailerID25,2194.92
25690,processed,24-01-2018,25694,processed,2,ProdName161,70.71,618.0,141.42,Hyderabad,DistName3,RetailerID25,2194.92
25690,processed,24-01-2018,25694,processed,2,ProdName162,90.09,4448.0,180.18,Hyderabad,DistName1,RetailerID20,2194.92
25690,processed,24-01-2018,25694,processed,2,ProdName163,12.77,4451.0,25.54,Hyderabad,DistName1,RetailerID20,2194.92
25695,processed,24-01-2018,25700,processed,1,ProdName164,235.72,481.0,235.72,Hyderabad,DistName3,RetailerID25,915.7
25695,processed,24-01-2018,25700,processed,1,ProdName165,70.36,1088.0,70.36,Hyderabad,DistName4,RetailerID94,915.7
25695,processed,24-01-2018,25700,processed,1,ProdName166,47.5,3163.0,47.5,Hyderabad,DistName3,RetailerID77,915.7
25695,processed,24-01-2018,25700,processed,1,ProdName167,510.7,304.0,510.7,Hyderabad,DistName7,RetailerID81,915.7
25695,processed,24-01-2018,25700,processed,2,ProdName168,25.71,5866.0,51.42,Hyderabad,DistName3,RetailerID123,915.7
26150,delivered,17-02-2018,26535,delivered,2,ProdName169,52.0,33588.0,104.0,Gurugram,DistName2,RetailerID37,113.0
25697,processed,24-01-2018,25702,processed,3,ProdName170,103.57,476.0,310.71,Hyderabad,DistName1,RetailerID163,1238.23
25697,processed,24-01-2018,25702,processed,3,ProdName171,155.72,685.0,467.16,Hyderabad,DistName3,RetailerID214,1238.23
25697,processed,24-01-2018,25702,processed,2,ProdName172,139.64,374.0,279.28,Hyderabad,DistName10,RetailerID192,1238.23
25698,processed,24-01-2018,25703,processed,3,ProdName173,20.17,788.0,60.51,Hyderabad,DistName1,RetailerID79,531.03
25698,processed,24-01-2018,25703,processed,1,ProdName174,277.14,2557.0,277.14,Hyderabad,DistName3,RetailerID114,531.03
25696,processed,24-01-2018,25701,processed,3,ProdName175,46.36,1194.0,139.08,Hyderabad,DistName1,RetailerID15,416.55
25696,processed,24-01-2018,25701,processed,1,ProdName176,135.71,4442.0,135.71,Hyderabad,DistName1,RetailerID13,416.55
25696,processed,24-01-2018,25701,processed,1,ProdName177,37.0,870.0,37.0,Hyderabad,DistName3,RetailerID34,416.55
25696,processed,24-01-2018,25701,processed,1,ProdName178,104.76,1856.0,104.76,Hyderabad,DistName1,RetailerID195,416.55
25699,processed,24-01-2018,25704,processed,1,ProdName179,35.0,2463.0,35.0,Hyderabad,DistName1,RetailerID74,418.05
25699,processed,24-01-2018,25704,processed,1,ProdName62,140.4,2527.0,140.4,Hyderabad,DistName3,RetailerID179,418.05
25699,processed,24-01-2018,25704,processed,5,ProdName180,42.14,2661.0,210.7,Hyderabad,DistName1,RetailerID13,418.05
25699,processed,24-01-2018,25704,processed,3,ProdName131,10.65,378.0,31.95,Hyderabad,DistName1,RetailerID13,418.05
25701,processed,24-01-2018,25706,processed,10,ProdName181,15.75,12585.0,157.5,Hyderabad,DistName3,RetailerID95,1417.94
25701,processed,24-01-2018,25706,processed,3,ProdName182,39.11,2314.0,117.33,Hyderabad,DistName10,RetailerID224,1417.94
25701,processed,24-01-2018,25706,processed,5,ProdName183,20.87,1788.0,104.35,Hyderabad,DistName1,RetailerID16,1417.94
